instance,algorithm,variant,cost,time,nodes,edges,source_file
grid_small_6,Greedy_k_CPP,k-CPP,79.47915652792034,1.4066696166992188e-05,20,31,simple_classical_results.csv
grid_small_4,Classical_CPP,CPP,183.3627085118853,2.694129943847656e-05,20,31,simple_classical_results.csv
grid_small_4,Capacity_Heuristic,CPP-LC,513.4155838332788,4.00543212890625e-05,20,31,simple_classical_results.csv
grid_small_4,Greedy_k_CPP,k-CPP,86.29515820368552,1.430511474609375e-05,20,31,simple_classical_results.csv
grid_small_5,Classical_CPP,CPP,222.99442715090797,2.5987625122070312e-05,20,31,simple_classical_results.csv
grid_small_5,Capacity_Heuristic,CPP-LC,535.1866251621791,3.910064697265625e-05,20,31,simple_classical_results.csv
grid_small_5,Greedy_k_CPP,k-CPP,92.29797536730622,1.4066696166992188e-05,20,31,simple_classical_results.csv
grid_small_1,Classical_CPP,CPP,224.20810773433988,2.5033950805664062e-05,20,31,simple_classical_results.csv
grid_small_1,Capacity_Heuristic,CPP-LC,627.7827016561516,3.886222839355469e-05,20,31,simple_classical_results.csv
grid_small_1,Greedy_k_CPP,k-CPP,93.02763717952848,1.3828277587890623e-05,20,31,simple_classical_results.csv
grid_small_0,Classical_CPP,CPP,198.6161191672748,2.5033950805664062e-05,20,31,simple_classical_results.csv
grid_small_0,Capacity_Heuristic,CPP-LC,516.4019098349145,4.029273986816406e-05,20,31,simple_classical_results.csv
grid_small_0,Greedy_k_CPP,k-CPP,85.60089231299419,1.3113021850585938e-05,20,31,simple_classical_results.csv
grid_small_2,Classical_CPP,CPP,235.0200723107744,2.5033950805664062e-05,20,31,simple_classical_results.csv
grid_small_2,Capacity_Heuristic,CPP-LC,658.0562024701683,3.886222839355469e-05,20,31,simple_classical_results.csv
grid_small_2,Greedy_k_CPP,k-CPP,96.19076465158078,1.2874603271484377e-05,20,31,simple_classical_results.csv
grid_small_3,Classical_CPP,CPP,208.84366027484137,2.408027648925781e-05,20,31,simple_classical_results.csv
grid_small_3,Capacity_Heuristic,CPP-LC,542.9935167145876,3.933906555175781e-05,20,31,simple_classical_results.csv
grid_small_3,Greedy_k_CPP,k-CPP,88.77876909536118,1.430511474609375e-05,20,31,simple_classical_results.csv
grid_small_0,Greedy_k_CPP,k-CPP,79.94194373836177,2.8848648071289062e-05,20,31,detailed_classical_results.csv
grid_small_1,Greedy_k_CPP,k-CPP,91.59889985608346,2.5033950805664062e-05,20,31,detailed_classical_results.csv
grid_small_2,Greedy_k_CPP,k-CPP,95.52288823518242,2.694129943847656e-05,20,31,detailed_classical_results.csv
grid_small_3,Greedy_k_CPP,k-CPP,85.45651562810187,2.2172927856445312e-05,20,31,detailed_classical_results.csv
grid_small_4,Greedy_k_CPP,k-CPP,76.49159916561423,2.5987625122070312e-05,20,31,detailed_classical_results.csv
grid_small_5,Greedy_k_CPP,k-CPP,89.51777321493212,2.193450927734375e-05,20,31,detailed_classical_results.csv
grid_small_6,Greedy_k_CPP,k-CPP,80.28771406311199,3.0994415283203125e-05,20,31,detailed_classical_results.csv
random_small_7,Greedy_k_CPP,k-CPP,344.90744072182326,5.507469177246094e-05,25,83,detailed_classical_results.csv
random_small_8,Greedy_k_CPP,k-CPP,310.81273079869123,6.67572021484375e-05,25,89,detailed_classical_results.csv
random_small_9,Greedy_k_CPP,k-CPP,290.07329910566614,6.723403930664062e-05,25,78,detailed_classical_results.csv
random_small_10,Greedy_k_CPP,k-CPP,361.3498027045776,7.605552673339844e-05,25,90,detailed_classical_results.csv
random_small_11,Greedy_k_CPP,k-CPP,337.86749118841806,5.602836608886719e-05,25,83,detailed_classical_results.csv
random_small_12,Greedy_k_CPP,k-CPP,351.0682004411014,6.008148193359375e-05,25,98,detailed_classical_results.csv
random_small_13,Greedy_k_CPP,k-CPP,334.9333792766536,5.507469177246094e-05,25,83,detailed_classical_results.csv
grid_medium_0,Greedy_k_CPP,k-CPP,295.7805019506535,7.319450378417969e-05,56,97,detailed_classical_results.csv
grid_medium_1,Greedy_k_CPP,k-CPP,244.09900872072092,7.772445678710938e-05,56,97,detailed_classical_results.csv
grid_medium_2,Greedy_k_CPP,k-CPP,279.3530431291774,7.390975952148438e-05,56,97,detailed_classical_results.csv
grid_medium_3,Greedy_k_CPP,k-CPP,283.4728538132604,7.605552673339844e-05,56,97,detailed_classical_results.csv
grid_medium_4,Greedy_k_CPP,k-CPP,253.76731488074284,7.319450378417969e-05,56,97,detailed_classical_results.csv
random_medium_5,Greedy_k_CPP,k-CPP,1689.6582603582538,0.0002119541168212,60,429,detailed_classical_results.csv
random_medium_6,Greedy_k_CPP,k-CPP,1829.981431642997,0.0002470016479492,60,474,detailed_classical_results.csv
random_medium_7,Greedy_k_CPP,k-CPP,1599.8755103528736,0.0002069473266601,60,408,detailed_classical_results.csv
random_medium_8,Greedy_k_CPP,k-CPP,1836.5453680689973,0.0002267360687255,60,450,detailed_classical_results.csv
random_medium_9,Greedy_k_CPP,k-CPP,1716.7278737882436,0.0002229213714599,60,437,detailed_classical_results.csv
clustered_medium_12,Greedy_k_CPP,k-CPP,277.41669420421334,0.0001111030578613,48,180,detailed_classical_results.csv
