instance_id,algorithm,variant,cost,tour_length,feasible,runtime_seconds,num_nodes,num_edges,network_family,size,gap_from_classical,gap_from_best_known,metadata
grid_small_4,greedy,greedy,1274.789373355927,102,True,0.00023508071899414062,20,31,from_data_dir,various,334.51766436783987,,{}
grid_small_5,greedy,greedy,1350.437315324993,96,True,0.00023984909057617188,20,31,from_data_dir,various,278.49525338448984,,{}
grid_small_1,greedy,greedy,1364.0134570240655,96,True,0.00025081634521484375,20,31,from_data_dir,various,280.23085750768774,,{}
grid_small_0,greedy,greedy,1286.6253400201347,96,True,0.00020003318786621094,20,31,from_data_dir,various,304.87189100464474,,{}
grid_small_2,greedy,greedy,1360.7640602869928,96,True,0.0002307891845703125,20,31,from_data_dir,various,261.87442600849744,,{}
grid_small_3,greedy,greedy,1337.0652326219124,96,True,0.00022721290588378906,20,31,from_data_dir,various,300.13940058747613,,{}
grid_medium_4,cpp_lc_fast,load_dependent,362.6315124004694,57,True,0.00417017936706543,56,97,from_data_dir,various,-64.18976781666805,,"{'method': 'ultra_fast_greedy', 'assumptions': ['Pre-computed shortest paths', 'Linear load-dependent costs', 'Greedy nearest edge selection', 'Single vehicle'], 'complexity': 'O(E² + V² log V)', 'trips_to_depot': 1, 'edges_serviced': 49, 'iterations': 49}"
grid_medium_1,cpp_lc_fast,load_dependent,375.25496078579005,57,True,0.0043179988861083984,56,97,from_data_dir,various,-61.24068415948959,,"{'method': 'ultra_fast_greedy', 'assumptions': ['Pre-computed shortest paths', 'Linear load-dependent costs', 'Greedy nearest edge selection', 'Single vehicle'], 'complexity': 'O(E² + V² log V)', 'trips_to_depot': 1, 'edges_serviced': 49, 'iterations': 49}"
random_small_10,cpp_lc_fast,load_dependent,540.8415085269982,50,True,0.0028002262115478516,25,90,from_data_dir,various,-61.92416056799043,,"{'method': 'ultra_fast_greedy', 'assumptions': ['Pre-computed shortest paths', 'Linear load-dependent costs', 'Greedy nearest edge selection', 'Single vehicle'], 'complexity': 'O(E² + V² log V)', 'trips_to_depot': 1, 'edges_serviced': 45, 'iterations': 45}"
random_medium_7,cpp_lc_fast,load_dependent,2200.543494046485,209,True,0.03175711631774902,60,408,from_data_dir,various,-65.5541424953442,,"{'method': 'ultra_fast_greedy', 'assumptions': ['Pre-computed shortest paths', 'Linear load-dependent costs', 'Greedy nearest edge selection', 'Single vehicle'], 'complexity': 'O(E² + V² log V)', 'trips_to_depot': 1, 'edges_serviced': 204, 'iterations': 204}"
