instance,variant,cost,time
grid_small_0,Mixed_CPP,285.97527506559516,0.0001690387725830078
grid_small_1,Mixed_CPP,313.45081752144847,0.00014901161193847656
grid_small_2,Mixed_CPP,327.8812645641541,0.00013899803161621094
grid_small_3,Mixed_CPP,298.33637760905015,0.000164031982421875
grid_small_4,Mixed_CPP,330.8478402985969,0.00012922286987304688
